customer_id,vehicle_type,seats_needed,is_ev_preferred,distance_km,booking_hour,day_of_week,price_range,vehicle_id
52,Van,7,0,150.89,2,1,0,12
93,Truck,8,1,96.58,22,3,2,26
15,EV,4,0,157.67,22,1,2,44
72,EV,2,0,150.52,1,6,2,44
61,Truck,7,0,122.9,8,5,1,21
21,Car,5,1,138.84,18,0,0,45
83,Truck,4,0,8.58,1,5,0,25
87,Bike,5,0,65.8,18,5,1,33
75,EV,7,1,129.38,1,4,1,5
75,Van,5,0,6.82,14,0,2,16
88,Bike,4,0,11.43,23,0,0,37
24,EV,7,0,171.12,20,0,1,45
3,Truck,2,1,138.38,2,5,2,24
22,Bike,4,0,56.75,4,3,0,32
53,EV,8,1,139.15,10,0,2,7
2,Car,4,1,159.53,23,2,0,47
88,Car,7,0,64.82,6,1,2,42
30,Van,4,1,12.03,5,3,0,14
38,EV,2,0,186.89,13,2,0,41
2,Car,2,0,72.31,0,5,0,49
64,Truck,8,0,25.76,16,5,0,29
60,EV,5,0,100.91,16,2,2,43
21,Truck,7,0,154.85,13,4,1,23
33,Truck,7,0,48.22,9,4,0,27
76,Car,5,0,57.55,7,2,0,42
58,EV,2,1,52.33,7,4,0,5
22,Bike,2,0,198.38,13,1,0,34
89,Car,4,1,43.49,6,1,2,41
49,Car,8,0,117.23,5,5,1,48
91,EV,8,0,185.43,3,4,1,43
59,EV,8,0,33.64,0,0,1,48
42,Truck,4,0,194.32,14,2,2,28
92,EV,8,0,189.76,14,1,1,41
60,Truck,5,1,177.49,0,6,2,28
80,Car,4,1,46.84,19,4,2,48
15,Van,5,1,128.64,2,6,0,11
62,Bike,4,0,153.37,22,4,2,35
62,Car,8,1,197.28,4,1,1,48
47,EV,5,0,40.18,4,1,1,43
62,Bike,5,0,154.38,3,0,1,31
51,Van,5,1,71.07,16,4,0,16
55,Van,4,1,39.25,20,4,0,18
64,Truck,7,0,87.17,19,3,0,25
3,Bike,8,0,159.8,13,5,2,33
51,Truck,5,0,95.65,7,0,1,20
7,Car,7,1,109.82,1,1,2,43
21,Bike,8,0,199.06,7,6,2,32
73,Car,8,1,82.83,0,1,1,46
39,Truck,5,0,125.0,3,2,0,29
18,Bike,5,0,76.22,18,5,1,34
4,Truck,4,0,81.59,4,1,2,22
89,Bike,7,0,140.65,4,4,2,31
60,Truck,7,0,187.89,20,1,0,21
14,Van,5,1,110.76,19,4,2,14
9,Truck,8,1,154.84,23,4,2,27
90,Van,5,1,22.4,18,0,1,17
53,Truck,8,1,46.18,11,1,0,24
2,Bike,8,1,102.92,19,0,1,31
84,Bike,5,0,8.9,0,6,1,33
92,Bike,2,1,54.31,6,6,1,36
60,EV,7,0,105.89,16,5,2,45
71,Car,8,0,7.92,1,4,2,49
44,Bike,8,0,56.59,10,6,0,36
8,Van,2,0,105.24,6,5,2,14
47,Bike,4,0,116.76,16,1,0,31
35,EV,2,1,185.52,2,5,1,8
78,Van,2,0,130.84,21,5,1,11
81,EV,8,0,85.87,5,1,2,47
36,Van,7,0,186.42,21,0,2,16
50,Truck,2,0,158.05,10,0,0,22
4,Car,4,0,44.0,17,4,2,43
2,Car,5,0,30.51,17,4,2,46
6,EV,2,0,136.78,21,1,2,43
54,Car,2,0,114.18,9,1,1,48
4,EV,4,1,158.99,4,3,2,7
54,EV,7,1,149.07,22,3,2,1
93,EV,2,0,126.92,22,2,1,40
63,Car,2,0,197.34,20,6,1,43
18,EV,7,0,109.05,23,4,1,48
90,Car,4,1,27.06,21,5,1,43
44,EV,2,0,166.51,14,6,2,44
34,Bike,7,0,54.11,20,2,2,30
74,EV,2,1,156.57,19,6,2,2
62,Van,5,0,191.64,22,2,0,13
14,EV,8,0,140.88,3,0,1,43
95,Truck,5,0,121.23,20,5,2,29
48,EV,2,1,94.78,20,0,2,6
15,Van,4,1,76.06,0,3,2,15
72,Van,8,1,73.84,14,2,1,17
78,Car,5,0,129.09,16,6,1,48
87,Bike,7,0,151.5,18,3,1,30
62,EV,4,1,137.31,13,5,2,1
40,Car,5,1,43.69,18,5,1,45
85,Bike,7,0,101.33,17,4,2,33
80,EV,2,1,159.37,1,1,0,4
82,Truck,7,0,97.76,5,0,1,20
53,EV,5,0,109.64,12,4,1,48
24,Van,5,1,155.37,16,6,2,12
26,Van,2,0,133.95,5,4,1,14
89,Truck,7,1,84.82,20,6,1,29
60,Car,7,0,179.61,21,0,2,40
41,Bike,2,0,36.7,4,0,2,37
29,EV,7,1,199.13,6,5,2,3
15,Van,2,1,28.18,0,5,0,10
45,Car,4,0,7.92,12,2,2,49
65,Truck,5,0,178.55,18,3,1,25
89,Van,4,1,52.77,21,5,0,10
71,Truck,8,0,147.29,0,4,2,22
9,EV,8,1,163.15,12,2,0,5
88,Bike,8,1,172.5,10,6,0,33
1,Van,2,0,198.36,6,2,1,16
8,Van,7,0,62.34,19,4,0,15
88,EV,4,0,143.5,2,5,2,42
63,Car,4,1,27.5,0,6,0,47
11,Bike,4,0,84.33,7,4,0,37
81,Van,4,0,170.35,16,1,1,11
8,Bike,8,0,76.69,12,5,1,36
35,Van,4,0,120.26,13,3,2,10
35,Bike,7,0,103.24,4,6,1,31
33,Truck,8,0,130.96,23,4,2,27
5,Van,4,1,194.71,21,5,2,10
41,Bike,2,1,15.87,22,0,1,31
28,Car,5,1,116.92,23,1,0,40
7,Truck,5,0,173.29,5,6,1,24
73,Truck,5,0,98.87,21,6,0,26
72,Car,8,1,20.31,5,3,0,45
12,Bike,4,0,114.31,20,5,2,35
34,EV,8,1,69.75,7,0,2,6
33,Car,7,1,35.21,12,5,1,47
48,Bike,2,0,170.56,17,0,0,34
23,Car,2,1,106.71,22,3,1,49
62,Car,5,1,186.99,3,1,2,46
88,Van,5,0,162.17,16,6,0,12
37,Bike,5,0,140.13,4,0,1,38
99,EV,4,0,5.98,2,2,1,49
44,Van,7,0,88.43,3,3,2,12
86,Car,7,0,43.51,22,3,2,45
91,Car,7,0,182.61,4,4,2,42
35,Car,7,1,39.04,13,1,2,40
65,Bike,5,0,60.78,14,2,1,30
99,Bike,2,0,105.78,19,2,2,32
47,Van,5,1,56.36,16,4,2,13
78,EV,7,0,45.92,5,0,1,41
3,Van,5,1,121.82,9,0,1,18
1,Truck,7,0,22.34,21,2,0,27
5,Car,8,0,16.34,22,1,1,42
90,Car,2,0,77.59,15,0,0,46
14,Car,8,1,145.53,16,3,2,43
27,Van,4,0,113.19,13,5,0,14
9,Van,5,1,87.46,19,4,0,13
79,Car,4,0,115.32,11,1,2,48
15,Van,5,0,76.26,8,0,2,16
90,Bike,8,0,187.55,14,5,2,33
42,Bike,7,1,15.71,11,2,0,37
77,Van,7,1,136.31,13,4,1,11
51,Car,5,0,178.8,21,0,1,46
63,Van,7,0,161.76,17,2,1,10
