vehicle_id,mileage,engine_temp,tire_pressure,battery_health,oil_level,brake_wear,days_since_last_maintenance,maintenance_status
52,40672.0,78.3,27.9,55.9,87.1,30.3,279,1
93,88922.0,71.2,26.3,82.3,88.4,48.6,87,0
15,102020.0,88.1,34.1,88.2,86.5,42.2,299,1
72,34624.0,97.3,25.9,54.3,83.9,10.6,291,2
61,68529.0,112.0,35.1,42.5,49.0,93.8,354,2
21,28549.0,76.4,33.0,77.4,37.4,4.4,69,1
83,7851.0,110.0,34.9,73.8,94.3,75.0,123,2
87,56771.0,113.2,33.9,64.1,44.6,7.1,79,1
75,54442.0,77.5,31.3,78.6,51.9,46.7,44,1
75,149322.0,112.6,28.0,73.0,76.0,17.5,232,2
88,66953.0,119.6,29.6,55.0,43.5,14.1,153,2
24,50035.0,106.3,32.9,63.9,85.5,12.6,179,1
3,87071.0,109.2,34.8,65.7,25.6,45.3,30,2
22,13315.0,119.7,36.7,92.8,83.3,51.5,84,1
53,144250.0,100.3,36.5,97.7,68.1,13.3,44,1
2,95244.0,85.4,39.6,93.6,65.8,97.9,322,1
88,113226.0,111.9,29.3,83.2,56.7,25.8,331,2
30,25572.0,100.7,26.1,75.1,42.2,45.9,242,2
38,61422.0,99.1,30.2,81.4,57.1,21.6,39,1
2,63403.0,82.7,36.1,96.3,56.0,49.4,181,1
64,123271.0,107.8,31.6,55.0,66.7,75.6,296,2
60,186.0,74.1,37.3,72.1,42.5,52.1,80,1
21,45128.0,116.2,33.2,81.4,26.2,28.6,37,1
33,147185.0,86.3,38.9,80.8,31.6,24.8,355,2
76,71233.0,76.4,39.2,55.1,75.9,75.9,56,1
58,57379.0,92.1,26.0,75.2,21.8,11.8,321,2
22,17974.0,72.1,31.8,87.8,88.5,37.0,29,0
89,146125.0,104.2,34.1,68.5,75.6,15.1,265,2
49,3004.0,115.1,28.8,87.6,81.4,25.8,226,1
91,110577.0,111.9,31.1,61.6,86.9,15.3,316,2
59,115290.0,76.4,35.2,96.3,29.8,88.7,291,2
42,36549.0,76.3,28.4,72.0,85.8,73.2,53,1
92,100734.0,110.7,34.0,75.8,60.4,56.1,96,2
60,13939.0,116.2,35.5,41.9,90.8,22.4,3,1
80,38557.0,93.0,26.4,50.2,90.9,51.0,309,2
15,118185.0,94.9,32.5,78.0,21.9,52.1,90,2
62,129703.0,85.9,28.9,65.2,50.6,59.0,88,2
62,91273.0,114.7,35.9,70.5,62.1,6.0,319,2
47,76026.0,102.2,27.8,43.8,74.3,97.3,91,2
62,23896.0,84.4,38.4,90.0,42.9,46.5,149,0
51,9466.0,84.9,31.5,87.1,40.2,92.7,233,1
55,17647.0,114.6,28.0,51.1,50.5,1.0,336,2
64,34104.0,70.7,31.6,78.1,60.1,24.8,58,0
3,51251.0,86.1,31.1,89.1,96.1,10.4,184,1
51,57136.0,97.7,31.4,78.5,81.0,77.0,43,1
7,51948.0,77.4,33.8,58.6,54.3,32.0,179,1
21,35858.0,74.6,32.8,79.4,24.3,84.0,75,1
73,76459.0,110.8,27.2,52.6,33.5,83.2,143,2
39,123793.0,114.7,26.0,59.1,56.5,66.8,100,2
18,41956.0,111.2,35.9,54.4,85.1,66.6,271,2
4,141358.0,114.9,33.4,73.4,50.5,70.0,54,2
89,131000.0,97.7,30.4,46.5,63.1,67.4,188,2
60,24265.0,110.6,37.1,96.0,91.3,38.7,350,1
14,117941.0,89.2,30.8,60.0,93.1,68.3,334,2
9,86188.0,103.3,36.9,53.1,37.3,89.7,76,2
90,84986.0,119.4,29.6,69.8,23.5,33.3,295,2
53,58656.0,81.3,26.1,56.6,44.4,94.5,218,2
2,75173.0,89.5,39.0,72.1,75.7,1.4,276,1
84,59577.0,94.0,30.9,60.9,96.1,34.9,65,0
92,80960.0,76.9,36.9,47.9,26.2,13.2,135,2
60,94193.0,74.1,29.2,56.0,22.3,12.7,233,2
71,101146.0,111.5,34.7,66.3,90.7,81.5,198,2
44,79872.0,118.8,38.1,41.8,79.9,91.8,265,2
8,108213.0,90.2,25.6,86.2,99.4,77.8,42,1
47,21192.0,74.4,37.5,77.3,51.7,97.7,360,2
35,31797.0,73.3,33.6,76.1,53.3,21.6,227,1
78,122810.0,114.6,34.1,72.8,33.8,14.1,226,2
81,48379.0,93.2,32.8,75.4,29.3,52.1,62,1
36,3434.0,86.0,38.1,96.1,66.3,82.9,170,1
50,23069.0,93.8,25.7,40.5,49.1,4.0,249,2
4,33542.0,85.9,28.9,42.9,26.4,99.6,337,2
2,143598.0,94.5,38.1,51.5,91.0,60.2,249,2
6,85956.0,113.0,36.3,50.0,35.9,97.9,306,2
54,139910.0,99.6,25.3,50.9,79.9,36.5,237,2
4,86275.0,104.7,32.8,80.3,42.6,45.8,55,1
54,71903.0,88.2,32.9,67.6,85.0,75.2,170,1
93,47059.0,106.9,31.0,99.5,29.5,79.3,33,2
63,90956.0,103.3,29.5,53.6,80.5,23.3,314,2
18,20880.0,76.0,35.2,58.6,27.8,93.0,129,2
90,134739.0,98.6,28.1,99.1,55.8,86.7,129,2
44,124400.0,82.8,37.0,89.9,78.7,1.8,150,1
34,47630.0,110.2,37.0,68.2,33.9,12.9,142,2
74,142920.0,91.3,31.2,73.3,42.9,49.6,117,1
62,123780.0,119.7,29.3,90.6,89.2,46.1,203,2
14,99946.0,74.6,29.3,68.9,90.8,70.8,234,2
95,18264.0,109.0,32.2,52.4,23.6,9.0,16,2
48,71735.0,103.7,35.8,89.7,33.4,64.5,81,1
15,75916.0,108.4,30.4,72.3,29.4,61.6,13,2
72,34883.0,85.4,34.2,49.2,34.4,23.4,80,1
78,11995.0,94.6,30.7,70.3,97.6,54.2,206,1
87,116509.0,109.8,29.6,64.8,64.1,22.2,203,2
62,18305.0,81.6,25.4,92.6,57.4,14.7,271,1
40,89144.0,81.3,25.1,47.6,98.8,57.3,31,1
85,140467.0,97.6,28.4,92.5,64.6,97.7,22,2
80,131416.0,96.2,31.1,70.7,72.9,23.7,101,1
82,41663.0,84.1,37.8,64.3,46.6,35.5,161,1
53,127717.0,84.9,37.0,49.7,50.6,25.7,97,2
24,50.0,83.9,29.0,82.0,67.6,26.6,143,0
26,2653.0,108.6,28.7,95.6,25.6,40.4,103,2
89,90383.0,102.6,28.4,62.5,40.5,70.2,323,2
60,54720.0,111.6,30.1,54.5,35.7,3.9,170,2
41,57969.0,118.8,32.5,73.3,21.3,95.7,63,2
29,84666.0,93.7,31.6,87.8,63.0,4.6,243,1
15,28767.0,73.3,28.3,40.2,64.9,88.1,70,1
45,31763.0,72.4,27.0,77.9,50.7,89.4,273,2
65,72690.0,84.8,25.2,75.8,41.5,52.4,124,2
89,113138.0,116.6,27.3,59.1,72.2,13.7,316,2
71,92925.0,96.2,35.6,67.1,30.8,56.5,330,2
9,44603.0,83.6,28.7,54.8,61.5,62.9,106,1
88,64551.0,90.0,32.0,87.4,81.4,85.8,147,1
1,25600.0,99.9,33.9,78.1,33.1,55.1,191,2
8,11194.0,102.6,38.3,72.0,80.3,41.1,336,1
88,117404.0,77.7,38.3,63.6,80.9,83.8,225,2
63,39808.0,118.9,36.2,57.5,24.8,98.1,241,2
11,26665.0,97.2,25.5,89.4,21.5,64.5,361,2
81,103743.0,76.8,33.6,67.1,97.9,87.4,283,2
8,92708.0,114.7,36.8,70.1,35.5,59.9,162,2
35,94978.0,73.7,25.3,71.2,85.8,69.0,7,1
35,34334.0,115.4,33.2,66.9,64.9,68.8,346,2
33,34897.0,119.8,37.9,55.4,41.2,70.5,151,2
5,33120.0,105.0,32.1,47.2,30.4,32.1,321,2
41,26063.0,108.5,25.1,45.9,59.7,57.6,94,2
28,98359.0,86.9,25.2,85.4,52.6,59.4,213,2
7,127202.0,117.1,31.2,53.4,75.9,31.5,63,2
73,108648.0,96.5,27.3,43.3,92.3,35.0,64,2
72,118814.0,106.6,35.0,87.9,84.4,76.2,269,2
12,60720.0,116.2,35.6,49.2,42.0,58.3,24,2
34,98111.0,118.8,27.7,77.5,90.3,14.9,99,2
33,53135.0,111.7,38.3,60.3,86.7,83.8,104,2
48,78826.0,85.2,31.6,47.6,94.3,88.3,130,2
23,72245.0,118.3,27.1,64.9,56.7,46.6,320,2
62,26533.0,101.4,36.5,40.9,81.5,20.9,18,1
88,58062.0,116.5,36.8,90.5,67.3,94.8,224,2
37,144573.0,103.8,34.6,70.8,44.8,88.2,105,2
99,37287.0,85.4,37.8,48.3,99.6,24.4,53,0
44,20071.0,88.5,36.1,54.2,23.1,9.6,225,2
86,62787.0,97.5,38.2,66.9,33.0,44.1,359,2
91,118551.0,109.5,31.5,51.3,91.4,67.6,14,2
35,87322.0,85.9,36.2,56.1,24.8,17.5,47,1
65,102146.0,99.0,40.0,72.1,90.9,51.3,138,2
99,28454.0,87.3,35.9,90.0,77.2,42.5,33,0
47,92842.0,110.8,26.7,64.1,22.9,89.1,354,2
78,48525.0,93.3,32.8,83.0,54.3,43.0,209,1
3,125146.0,73.8,33.8,92.6,80.4,53.4,18,1
1,94395.0,78.3,27.6,53.0,66.6,95.5,195,2
5,29828.0,73.1,39.4,88.4,94.9,30.0,325,0
90,9693.0,95.0,27.6,85.4,89.4,28.9,114,0
14,6395.0,75.3,27.7,61.4,46.6,80.0,351,2
27,55711.0,75.7,38.7,99.4,26.8,27.8,74,1
9,39878.0,117.1,32.0,55.8,95.5,83.2,149,2
79,96914.0,113.6,25.9,55.3,61.4,9.6,35,2
15,74900.0,92.6,34.0,86.3,26.0,11.1,241,1
90,39903.0,119.3,34.0,66.1,85.3,90.1,150,2
42,22386.0,70.0,26.0,59.8,89.5,54.1,62,1
77,19080.0,100.7,39.6,50.7,71.2,71.9,153,2
51,129699.0,100.8,33.2,85.9,55.8,22.5,187,2
63,36522.0,92.9,33.4,87.2,73.0,16.6,222,0
96,97757.0,89.8,32.8,74.0,76.5,83.5,92,1
52,121603.0,92.8,34.2,97.4,91.4,35.9,4,0
96,92112.0,90.7,29.0,59.1,96.5,45.5,165,1
4,128935.0,106.5,29.3,53.2,61.1,2.8,24,2
94,58859.0,76.8,32.7,80.6,83.9,38.6,97,0
23,143433.0,79.9,37.1,85.5,97.2,77.0,267,2
15,19972.0,79.0,25.7,53.5,32.1,82.1,149,2
43,15322.0,83.1,34.1,44.6,21.5,69.9,251,2
29,98804.0,96.3,37.1,88.6,89.5,69.2,83,1
36,141425.0,75.6,27.4,98.6,35.6,50.6,284,2
13,121333.0,113.4,25.2,78.7,23.4,53.8,171,2
32,11463.0,84.9,29.7,56.7,32.8,74.3,220,2
71,41905.0,78.1,33.8,99.8,50.7,24.7,108,0
59,139548.0,103.8,27.1,93.6,37.5,23.2,26,2
86,37959.0,71.9,31.4,70.8,44.4,95.0,245,2
28,117176.0,101.0,33.3,89.5,98.0,2.8,54,1
66,123770.0,104.9,34.0,88.9,76.4,13.9,132,1
42,74318.0,80.7,29.1,96.1,77.0,57.0,51,1
45,57952.0,72.1,31.0,90.5,27.6,73.8,252,2
62,67519.0,88.2,36.7,78.6,78.6,53.8,268,1
57,34045.0,74.9,39.1,76.6,79.1,35.5,297,1
6,133409.0,75.8,37.9,68.0,72.8,97.8,78,1
28,67593.0,82.7,33.5,77.6,38.3,70.4,17,2
28,132369.0,84.8,31.2,87.7,53.8,83.1,305,2
44,15854.0,96.5,30.0,98.1,87.7,4.0,257,1
84,148241.0,103.9,26.9,68.0,73.6,23.6,342,2
30,66491.0,99.6,26.6,74.4,78.6,37.4,106,1
62,7175.0,77.4,35.3,66.7,67.0,18.3,46,0
75,5703.0,78.6,28.9,80.1,56.0,7.3,245,1
